marka,model,yil,yakit_turu,arac_tipi,karbon_emisyon
Audi,A3,2005,Benzin,Sedan,131
Audi,A3,2005,Benzin,Hatchback,134
Audi,A3,2005,Benzin,SUV,136
Audi,A3,2005,Benzin,Ticari,140
Audi,A3,2005,Benzin,Coupe,130
Audi,A3,2005,Dizel,Sedan,110
Audi,A3,2005,Dizel,Hatchback,109
Audi,A3,2005,Dizel,SUV,96
Audi,A3,2005,Dizel,Ticari,97
Audi,A3,2005,Dizel,Coupe,110
Audi,A3,2005,LPG,Sedan,126
Audi,A3,2005,LPG,Hatchback,119
Audi,A3,2005,LPG,SUV,111
Audi,A3,2005,LPG,Ticari,124
Audi,A3,2005,LPG,Coupe,120
Audi,A3,2005,Hibrit,Sedan,68
Audi,A3,2005,Hibrit,Hatchback,73
Audi,A3,2005,Hibrit,SUV,73
Audi,A3,2005,Hibrit,Ticari,64
Audi,A3,2005,Hibrit,Coupe,71
Audi,A3,2005,Elektrik,Sedan,0
Audi,A3,2005,Elektrik,Hatchback,0
Audi,A3,2005,Elektrik,SUV,0
Audi,A3,2005,Elektrik,Ticari,0
Audi,A3,2005,Elektrik,Coupe,0
Audi,A3,2006,Benzin,Sedan,136
Audi,A3,2006,Benzin,Hatchback,134
Audi,A3,2006,Benzin,SUV,123
Audi,A3,2006,Benzin,Ticari,137
Audi,A3,2006,Benzin,Coupe,134
Audi,A3,2006,Dizel,Sedan,117
Audi,A3,2006,Dizel,Hatchback,109
Audi,A3,2006,Dizel,SUV,106
Audi,A3,2006,Dizel,Ticari,114
Audi,A3,2006,Dizel,Coupe,105
Audi,A3,2006,LPG,Sedan,108
Audi,A3,2006,LPG,Hatchback,108
Audi,A3,2006,LPG,SUV,117
Audi,A3,2006,LPG,Ticari,126
Audi,A3,2006,LPG,Coupe,114
Audi,A3,2006,Hibrit,Sedan,65
Audi,A3,2006,Hibrit,Hatchback,65
Audi,A3,2006,Hibrit,SUV,73
Audi,A3,2006,Hibrit,Ticari,62
Audi,A3,2006,Hibrit,Coupe,71
Audi,A3,2006,Elektrik,Sedan,0
Audi,A3,2006,Elektrik,Hatchback,0
Audi,A3,2006,Elektrik,SUV,0
Audi,A3,2006,Elektrik,Ticari,0
Audi,A3,2006,Elektrik,Coupe,0
Audi,A3,2007,Benzin,Sedan,143
Audi,A3,2007,Benzin,Hatchback,132
Audi,A3,2007,Benzin,SUV,129
Audi,A3,2007,Benzin,Ticari,128
Audi,A3,2007,Benzin,Coupe,139
Audi,A3,2007,Dizel,Sedan,105
Audi,A3,2007,Dizel,Hatchback,107
Audi,A3,2007,Dizel,SUV,112
Audi,A3,2007,Dizel,Ticari,114
Audi,A3,2007,Dizel,Coupe,119
Audi,A3,2007,LPG,Sedan,120
Audi,A3,2007,LPG,Hatchback,116
Audi,A3,2007,LPG,SUV,127
Audi,A3,2007,LPG,Ticari,114
Audi,A3,2007,LPG,Coupe,123
Audi,A3,2007,Hibrit,Sedan,69
Audi,A3,2007,Hibrit,Hatchback,76
Audi,A3,2007,Hibrit,SUV,76
Audi,A3,2007,Hibrit,Ticari,63
Audi,A3,2007,Hibrit,Coupe,78
Audi,A3,2007,Elektrik,Sedan,0
Audi,A3,2007,Elektrik,Hatchback,0
Audi,A3,2007,Elektrik,SUV,0
Audi,A3,2007,Elektrik,Ticari,0
Audi,A3,2007,Elektrik,Coupe,0
Audi,A3,2008,Benzin,Sedan,127
Audi,A3,2008,Benzin,Hatchback,145
Audi,A3,2008,Benzin,SUV,127
Audi,A3,2008,Benzin,Ticari,137
Audi,A3,2008,Benzin,Coupe,127
Audi,A3,2008,Dizel,Sedan,117
Audi,A3,2008,Dizel,Hatchback,105
Audi,A3,2008,Dizel,SUV,104
Audi,A3,2008,Dizel,Ticari,105
Audi,A3,2008,Dizel,Coupe,110
Audi,A3,2008,LPG,Sedan,129
Audi,A3,2008,LPG,Hatchback,125
Audi,A3,2008,LPG,SUV,112
Audi,A3,2008,LPG,Ticari,124
Audi,A3,2008,LPG,Coupe,117
Audi,A3,2008,Hibrit,Sedan,75
Audi,A3,2008,Hibrit,Hatchback,78
Audi,A3,2008,Hibrit,SUV,79
Audi,A3,2008,Hibrit,Ticari,70
Audi,A3,2008,Hibrit,Coupe,73
Audi,A3,2008,Elektrik,Sedan,0
Audi,A3,2008,Elektrik,Hatchback,0
Audi,A3,2008,Elektrik,SUV,0
Audi,A3,2008,Elektrik,Ticari,0
Audi,A3,2008,Elektrik,Coupe,0
Audi,A3,2009,Benzin,Sedan,138
Audi,A3,2009,Benzin,Hatchback,136
Audi,A3,2009,Benzin,SUV,129
Audi,A3,2009,Benzin,Ticari,143
Audi,A3,2009,Benzin,Coupe,139
Audi,A3,2009,Dizel,Sedan,102
Audi,A3,2009,Dizel,Hatchback,121
Audi,A3,2009,Dizel,SUV,111
Audi,A3,2009,Dizel,Ticari,105
Audi,A3,2009,Dizel,Coupe,108
Audi,A3,2009,LPG,Sedan,116
Audi,A3,2009,LPG,Hatchback,115
Audi,A3,2009,LPG,SUV,116
Audi,A3,2009,LPG,Ticari,131
Audi,A3,2009,LPG,Coupe,114
Audi,A3,2009,Hibrit,Sedan,70
Audi,A3,2009,Hibrit,Hatchback,80
Audi,A3,2009,Hibrit,SUV,73
Audi,A3,2009,Hibrit,Ticari,64
Audi,A3,2009,Hibrit,Coupe,69
Audi,A3,2009,Elektrik,Sedan,0
Audi,A3,2009,Elektrik,Hatchback,0
Audi,A3,2009,Elektrik,SUV,0
Audi,A3,2009,Elektrik,Ticari,0
Audi,A3,2009,Elektrik,Coupe,0
Audi,A3,2010,Benzin,Sedan,143
Audi,A3,2010,Benzin,Hatchback,143
Audi,A3,2010,Benzin,SUV,133
Audi,A3,2010,Benzin,Ticari,130
Audi,A3,2010,Benzin,Coupe,145
Audi,A3,2010,Dizel,Sedan,119
Audi,A3,2010,Dizel,Hatchback,114
Audi,A3,2010,Dizel,SUV,116
Audi,A3,2010,Dizel,Ticari,110
